lnlik,n_par,aic,aicc
d_fit54,-192.10675844279,5,394.21351688558,395.21351688558
sd_fit54,-191.380875308313,6,394.761750616626,396.185479430185
sxd_fit54,-191.380967637442,7,396.761935274884,398.692969757643
d_fit55,-185.175552453857,5,380.351104907714,381.351104907714
sd_fit55,-183.213333578915,6,378.42666715783,379.850395971389
sxd_fit55,-183.213432338757,7,380.426864677514,382.357899160273
d_fit56,-204.601989272408,5,419.203978544816,420.203978544816
sd_fit56,-203.137448611756,6,418.274897223512,419.698626037071
sxd_fit56,-203.118075010821,7,420.236150021642,422.167184504401
d_fit57,-185.651686055866,5,381.303372111732,382.303372111732
sd_fit57,-184.170877864326,6,380.341755728652,381.765484542211
sxd_fit57,-183.772439969882,7,381.544879939764,383.475914422523
d_fit58,-178.430046162828,5,366.860092325656,367.860092325656
sd_fit58,-177.406187061539,6,366.812374123078,368.236102936637
sxd_fit58,-177.40614489439,7,368.81228978878,370.743324271539
d_fit59,-193.225804075585,5,396.45160815117,397.45160815117
sd_fit59,-192.553618644938,6,397.107237289876,398.530966103435
sxd_fit59,-192.44211229839,7,398.88422459678,400.815259079539
d_fit60,-189.335105672183,5,388.670211344366,389.670211344366
sd_fit60,-187.270374638195,6,386.54074927639,387.964478089949
sxd_fit60,-187.270972608058,7,388.541945216116,390.472979698875
d_fit61,-174.458164286079,5,358.916328572158,359.916328572158
sd_fit61,-173.216656905944,6,358.433313811888,359.857042625447
sxd_fit61,-173.216807575056,7,360.433615150112,362.364649632871
d_fit62,-193.073052071825,5,396.14610414365,397.14610414365
sd_fit62,-191.842362033148,6,395.684724066296,397.108452879855
sxd_fit62,-191.628514293322,7,397.257028586644,399.188063069403
d_fit63,-182.741508751079,5,375.483017502158,376.483017502158
sd_fit63,-180.547074605964,6,373.094149211928,374.517878025487
sxd_fit63,-180.54614370017,7,375.09228740034,377.023321883099
d_fit64,-184.009869692082,5,378.019739384164,379.019739384164
sd_fit64,-183.488939551005,6,378.97787910201,380.401607915569
sxd_fit64,-183.356869360616,7,380.713738721232,382.644773203991
d_fit65,-202.958278632707,5,415.916557265414,416.916557265414
sd_fit65,-201.401062565987,6,414.802125131974,416.225853945533
sxd_fit65,-201.400998511071,7,416.801997022142,418.733031504901
d_fit66,-194.027175509976,5,398.054351019952,399.054351019952
sd_fit66,-193.418044805351,6,398.836089610702,400.259818424261
sxd_fit66,-193.418031516542,7,400.836063033084,402.767097515843
d_fit67,-171.386464317795,5,352.77292863559,353.77292863559
sd_fit67,-170.090692228288,6,352.181384456576,353.605113270135
sxd_fit67,-170.090770404934,7,354.181540809868,356.112575292627
d_fit68,-192.061639144212,5,394.123278288424,395.123278288424
sd_fit68,-190.581130053882,6,393.162260107764,394.585988921323
sxd_fit68,-190.581421002431,7,395.162842004862,397.093876487621
d_fit69,-184.080347445508,5,378.160694891016,379.160694891016
sd_fit69,-182.895674508563,6,377.791349017126,379.215077830685
sxd_fit69,-182.895684390179,7,379.791368780358,381.722403263117
d_fit70,-188.295077364108,5,386.590154728216,387.590154728216
sd_fit70,-187.519214517895,6,387.03842903579,388.462157849349
sxd_fit70,-187.519532293791,7,389.039064587582,390.970099070341
d_fit71,-189.611393557603,5,389.222787115206,390.222787115206
sd_fit71,-188.147732225459,6,388.295464450918,389.719193264477
sxd_fit71,-187.779441890799,7,389.558883781598,391.489918264357
d_fit72,-198.70942994581,5,407.41885989162,408.41885989162
sd_fit72,-197.48894049329,6,406.97788098658,408.401609800139
sxd_fit72,-197.093519287498,7,408.187038574996,410.118073057755
d_fit73,-190.601441154829,5,391.202882309658,392.202882309658
sd_fit73,-187.593001180148,6,387.186002360296,388.609731173855
sxd_fit73,-187.593656311876,7,389.187312623752,391.118347106511
d_fit74,-189.864705542556,5,389.729411085112,390.729411085112
sd_fit74,-188.88156942703,6,389.76313885406,391.186867667619
sxd_fit74,-188.735141443135,7,391.47028288627,393.401317369029
d_fit75,-176.674354280515,5,363.34870856103,364.34870856103
sd_fit75,-175.607954350253,6,363.215908700506,364.639637514065
sxd_fit75,-175.494098870505,7,364.98819774101,366.919232223769
d_fit76,-204.76294106071,5,419.52588212142,420.52588212142
sd_fit76,-203.553960403243,6,419.107920806486,420.531649620045
sxd_fit76,-203.555265324043,7,421.110530648086,423.041565130845
d_fit77,-202.885437908855,5,415.77087581771,416.77087581771
sd_fit77,-201.932650274642,6,415.865300549284,417.289029362843
