sB,sAB,xB,dA,dB
0.19295943761685,1.15005206799818e-07,2.51716134306916e-06,0.0618030528120522,0.0975489689270374
0.356487113495473,0.0207870114894702,7.80657521416802e-09,0.118377083521258,0.211388580072476
0.340512403771488,1.81477771964566e-06,9.132511484682e-08,0.103056042342709,0.18173157933869
0.220624664679108,5.62188740197508e-07,2.50246500158522e-07,0.0672159020928167,0.108676463252466
0.282273774513102,1.07110666597406e-07,1.23298089518152e-05,0.0949166176044816,0.133449404493629
0.321737070444323,9.03126720777345e-06,9.24585408149307e-06,0.093107961287676,0.203749089905039
0.246192853594474,0.0272488663425852,5.81229896434362e-08,0.0733614270683243,0.158736642600821
0.325081699219498,6.1659875749816e-07,0.0104409573580715,0.102015296470043,0.210178173498021
0.34315442099038,7.0564668208191e-06,6.30234932645656e-07,0.108037566257818,0.19424156833978
0.292001778832984,8.99319013950984e-07,0.00493427824699563,0.0965252077658177,0.155693919288784
0.295260601868424,1.57399779791158e-05,1.23013730951902e-05,0.0898400218590244,0.174853916326966
0.375904788298673,1.32674491841795e-06,4.39094697463772e-07,0.122204410333323,0.191414672925029
0.287272667301202,0.0157421423965807,1.50428951459427e-07,0.0821743792898416,0.183719036740487
0.322529482360578,8.52342743044144e-08,3.71078659919733e-06,0.0956098575523475,0.203211384954182
0.343689244732642,0.0175488141775239,3.47634366910973e-08,0.111913766936073,0.183339779616479
0.232324007876896,1.45228916039668e-06,6.39696920001342e-06,0.0634789664559997,0.147561748382868
0.271410180959957,2.89811993735048e-06,2.67984203961041e-08,0.0884316413899687,0.1334472554006
0.390888711536304,5.95923424554949e-08,7.43142552861566e-09,0.124519499199264,0.212182508385467
0.283051138305276,3.6937611245953e-09,6.00300950559438e-08,0.0897411695268159,0.157343483009387
0.326602922719024,9.42282264957698e-07,2.25193655969482e-06,0.101679913406302,0.175682383761264
0.292182133434133,6.98482270574149e-07,2.95946744825024e-06,0.0877612633537793,0.159673634096129
0.310244160940384,1.49798511644997e-06,0.015607273432354,0.0937324844079226,0.206448079901501
0.273268965577038,0.0146425599951116,9.34480660687899e-09,0.083747248074399,0.166409616206646
0.281827552198513,3.00242728822153e-07,1.7096993215289e-06,0.0838512591235636,0.183787951800321
0.310328072675331,0.0181716445853377,7.77121861693718e-08,0.108363373682884,0.17105908067576
0.391229219756084,1.28275929671783e-07,0.0071547016859858,0.136557355593498,0.204608472746688
0.230056921740262,2.91839015597681e-07,9.39442153256583e-06,0.065077889460956,0.134828270829418
0.244973399093037,4.57083684012649e-08,3.59452935995416e-06,0.0767891371171792,0.131579222347522
0.295441998197359,8.35563104183329e-07,1.58905778331531e-05,0.0893581050248605,0.158977709281513
0.254065240783751,5.09789641151503e-08,0.00603878542269361,0.0860746739472105,0.137089520168206
0.323311925439942,4.87840745906918e-07,0.00965449911311479,0.0938107950596356,0.205536966652887
0.311218980813828,5.78720751705818e-06,4.24748777553064e-06,0.0952071118062359,0.173199723331151
0.247293985739648,2.55589874335309e-06,1.27122163980916e-05,0.0714106939475185,0.152690275524301
0.304191672671134,9.05928540342226e-08,0.00573983613855228,0.0979314913804959,0.176006548876917
0.267029866323621,7.10037366490713e-08,8.03653552738196e-10,0.0827773721083842,0.135955627148046
0.321494433298527,2.22373964790519e-07,0.00932675858262998,0.0990330951075945,0.193645287651207
0.315888852699257,3.32786097308811e-09,1.99189825467663e-06,0.0913829066824611,0.181253319602906
0.399626705213156,6.90947386178853e-10,5.66681622284143e-07,0.12267745865963,0.229154849945269
0.240052337895348,1.63903725690357e-08,2.7494375037082e-09,0.0674082797991812,0.151666559772208
0.295728119123046,0.0143885705815857,2.92747410341852e-07,0.0933887273628871,0.171093267570468
0.320710851636702,4.80158384167223e-08,0.0157668371262183,0.0878575021521885,0.225309491318957
0.316506573605192,0.0234278297787539,1.44727792033296e-08,0.0959195972132344,0.215595301236188
0.295747095968553,2.97168105084887e-08,5.81337118276894e-06,0.0922223855199873,0.163775097272281
0.255411560594819,2.38903017241465e-06,1.00252787769302e-07,0.0726637557591655,0.147648411824556
0.245203781561038,2.39695875720772e-07,1.42697463448015e-08,0.0722981238298281,0.139088991377177
0.297432844587609,0.0212959234865602,1.18502925954784e-07,0.0869680697876948,0.188643622283475
0.250862849934365,1.27718119825998e-05,1.49230760802755e-05,0.0799686394453681,0.134967311868202
0.271142861659022,0.0219889217449687,1.62821472476793e-08,0.0830356464527902,0.163323624846639
0.312409974607038,6.88270002217861e-06,0.00904565637745608,0.0915869100014121,0.195037021252225
0.27130043390283,1.10869790498187e-06,5.33931800402028e-09,0.0751796992316119,0.151147921187769
