l.c,l.m,m.c,m.m,diffusion
0.700577291831035,-0.151419700009751,-2057.40225737154,-5512.62411525934,0.781466704331789
0.715539319714553,-0.154543437585857,-1484.35728100452,-3977.19773327302,0.790493399263557
0.663676553418173,-0.14635563104351,-860.491505005077,-2305.60749348979,0.702460462184858
0.567284539638725,-0.128005771182146,-278254.320723954,-831331.616030402,0.562409287859358
0.541250546438944,-0.121563535156855,-315680.763714473,-891249.060640608,0.558915215275468
0.639699380290962,-0.146136553813186,-327833.367912334,-1104537.25298636,0.529330413566773
0.552992540295909,-0.124978993386696,-726.293990583729,-2052.01692493675,0.562166093466227
0.601100694108644,-0.137075733927289,-411819.614164404,-1302628.74979636,0.53506036805459
0.65421669758242,-0.137869678284348,-872.368731730164,-2023.86306792046,0.827676460792652
0.603685737222068,-0.135603827320013,-1049.29659147701,-2811.49343643379,0.613084785343603
