lnlik,n_par,aic,aicc
const_fit85,-321.498240597746,3,648.996481195492,648.867448937427
l_lin_fit85,-321.129284868035,4,650.258569736071,650.094635309841
lm_lin_fit85,-309.383283694391,5,628.766567388782,628.566567388782
const_fit86,-340.628663364361,3,687.257326728721,687.128294470657
l_lin_fit86,-340.460930082726,4,688.921860165452,688.757925739223
lm_lin_fit86,-333.708911422077,5,677.417822844154,677.217822844154
const_fit87,-315.39485872773,3,636.78971745546,636.660685197396
l_lin_fit87,-314.432990678982,4,636.865981357964,636.702046931735
lm_lin_fit87,-302.229985533815,5,614.45997106763,614.25997106763
const_fit88,-339.88149479743,3,685.762989594859,685.633957336795
l_lin_fit88,-339.169808457508,4,686.339616915017,686.175682488787
lm_lin_fit88,-327.003039593748,5,664.006079187496,663.806079187496
const_fit89,-336.879168409541,3,679.758336819083,679.629304561018
l_lin_fit89,-336.828822805039,4,681.657645610078,681.493711183848
lm_lin_fit89,-324.313010937582,5,658.626021875164,658.426021875164
const_fit90,-332.094394817152,3,670.188789634304,670.059757376239
l_lin_fit90,-331.714125900872,4,671.428251801743,671.264317375514
lm_lin_fit90,-318.596829725024,5,647.193659450048,646.993659450048
const_fit91,-330.383602724889,3,666.767205449778,666.638173191713
l_lin_fit91,-330.017078872376,4,668.034157744753,667.870223318523
lm_lin_fit91,-317.153895698535,5,644.307791397069,644.107791397069
const_fit92,-340.325896466151,3,686.651792932302,686.522760674237
l_lin_fit92,-340.253010044004,4,688.506020088008,688.342085661779
lm_lin_fit92,-333.461968036817,5,676.923936073634,676.723936073634
const_fit93,-343.245366467929,3,692.490732935858,692.361700677793
l_lin_fit93,-343.144277837361,4,694.288555674721,694.124621248492
lm_lin_fit93,-330.129511562806,5,670.259023125611,670.059023125611
const_fit94,-348.620372925415,3,703.24074585083,703.111713592766
l_lin_fit94,-348.418407713969,4,704.836815427938,704.672881001709
lm_lin_fit94,-335.52167894439,5,681.04335788878,680.84335788878
const_fit95,-326.454160683222,3,658.908321366444,658.77928910838
l_lin_fit95,-326.378839078281,4,660.757678156561,660.593743730332
lm_lin_fit95,-314.763333281233,5,639.526666562466,639.326666562466
const_fit96,-343.967529939347,3,693.935059878695,693.80602762063
l_lin_fit96,-343.931945514231,4,695.863891028461,695.699956602232
lm_lin_fit96,-331.338127127559,5,672.676254255118,672.476254255118
const_fit97,-334.56441732064,3,675.12883464128,674.999802383215
l_lin_fit97,-334.364849727504,4,676.729699455009,676.565765028779
lm_lin_fit97,-322.503428639931,5,655.006857279861,654.806857279861
const_fit98,-344.898611191991,3,695.797222383981,695.668190125917
l_lin_fit98,-344.608432802326,4,697.216865604652,697.052931178422
lm_lin_fit98,-337.489196327845,5,684.978392655689,684.778392655689
const_fit99,-340.608058095867,3,687.216116191735,687.08708393367
l_lin_fit99,-340.495359057049,4,688.990718114098,688.826783687869
lm_lin_fit99,-327.768721554742,5,665.537443109484,665.337443109484
