lnlik,n_par,aic,aicc
l_lin_fit89,-244.064141344911,4,496.128282689822,496.78402039474
lm_lin_fit89,-234.435525490838,5,478.871050981676,479.871050981676
const_fit90,-241.503246927396,3,489.006493854793,489.393590628986
l_lin_fit90,-241.261918390197,4,490.523836780395,491.179574485313
lm_lin_fit90,-230.089579330229,5,470.179158660457,471.179158660457
const_fit91,-241.387113266498,3,488.774226532997,489.16132330719
l_lin_fit91,-241.173047180128,4,490.346094360256,491.001832065174
lm_lin_fit91,-229.979534363294,5,469.959068726588,470.959068726588
const_fit92,-245.801507779261,3,497.603015558523,497.990112332716
l_lin_fit92,-245.763484672974,4,499.526969345947,500.182707050865
lm_lin_fit92,-235.437167966735,5,480.874335933469,481.874335933469
const_fit93,-251.901578849645,3,509.803157699289,510.190254473483
l_lin_fit93,-251.838403527071,4,511.676807054143,512.332544759061
lm_lin_fit93,-241.543531329812,5,493.087062659623,494.087062659623
const_fit94,-256.559472927054,3,519.118945854109,519.506042628302
l_lin_fit94,-256.460183149252,4,520.920366298504,521.576104003422
lm_lin_fit94,-246.102283890954,5,502.204567781908,503.204567781908
const_fit95,-236.133024764372,3,478.266049528744,478.653146302937
l_lin_fit95,-236.129809974013,4,480.259619948025,480.915357652943
lm_lin_fit95,-228.490296207833,5,466.980592415666,467.980592415666
const_fit96,-254.594381762499,3,515.188763524998,515.575860299192
l_lin_fit96,-254.584951945234,4,517.169903890468,517.825641595386
lm_lin_fit96,-244.72073729226,5,499.44147458452,500.44147458452
const_fit97,-244.943784527066,3,495.887569054132,496.274665828326
l_lin_fit97,-244.867132899836,4,497.734265799672,498.39000350459
lm_lin_fit97,-236.204584390052,5,482.409168780104,483.409168780104
const_fit98,-248.118082970711,3,502.236165941421,502.623262715615
l_lin_fit98,-247.923480607534,4,503.846961215069,504.502698919987
lm_lin_fit98,-236.27944535074,5,482.55889070148,483.55889070148
const_fit99,-248.779324504994,3,503.558649009989,503.945745784182
l_lin_fit99,-248.743084133383,4,505.486168266766,506.141905971684
lm_lin_fit99,-238.755232895316,5,487.510465790631,488.510465790631
