AF-endemic,widespread
18202.3039234261,16885.9948211374
16324.4011704266,15538.75090744
10305.2061809319,15784.5035000736
16940.954556403,15885.5934247503
11121.5951433119,12129.011002639
21191.2699754584,17167.8983919037
17958.8269086466,15939.4365297326
16627.5276378152,13925.0612138046
19016.8659310191,15186.7469815113
16720.3533939244,17530.5567494949
16216.5300173214,16902.156505568
16180.8812649332,15314.1094524369
13565.8643696014,15668.5193373109
15678.9788495235,16737.9484228897
13010.060385314,15544.3186853664
17187.651499875,13335.7616431313
14370.0034560717,17468.5711626149
13924.9658271701,15550.3517773984
14808.7165095828,15303.4897215195
13561.2390533435,15703.9410729235
16547.0938487474,17403.2692076789
18380.0921318497,15200.2656131566
11414.5273670665,15794.4139086287
19230.6824416802,17060.0653307968
21358.1037106066,20117.6870067668
17758.3512593721,15947.2563562544
12482.6629820886,15943.4111081695
13457.4944760878,14157.5451467927
13713.592832614,13859.2567258691
15354.3811002139,16090.2147408442
14882.8942228565,16307.246563361
17046.846580335,17887.2419820713
15194.4600841376,16804.1014218513
19921.0388024057,17217.4175266932
17489.4965778597,17514.1980599961
16261.7462063039,14988.924839281
18528.8264224488,14905.9820427505
16256.7072909324,17377.7465474563
17204.2811218356,14975.0708607215
14565.887705944,14855.0618435536
16264.5060342686,14216.1892131014
13206.3779692962,14663.596486811
16456.1293859902,14730.2575948255
12238.4975793918,13725.7248960088
13397.6763544375,13580.1035792388
13249.4931474816,14909.8863457959
14437.8041148626,15228.146087778
14305.7140223741,16985.4552708438
15917.4713911146,16132.3073830064
15491.4051223757,14100.3928356941
16021.6292624625,16908.635841723
17643.4941755269,17261.9722655111
19068.7996122148,18320.5867674132
16556.6206356565,14281.6160184921
15739.0513755266,15136.0907094877
18776.4528798094,17349.087065085
15027.2223074945,15172.3414167765
15896.8047065781,17482.1689387142
18792.4493708161,17035.7258559052
13871.9528840002,14153.5561694201
13806.7605780093,14339.8818451631
13636.8902003168,14731.8733397836
15557.6086719058,17007.9803877394
16670.5775738812,17339.4141545192
17005.2602029996,15958.0419213111
12660.0132034839,14061.7087869856
18209.2612099833,16944.266709866
13826.4569948806,14529.8445406385
17249.4557340479,16073.329864481
13312.1948271194,14485.7523194282
14572.9894515973,15517.5987952019
15416.1314027887,18189.0740706873
16107.0936862224,15940.3665879328
13395.6163283638,15333.1896173155
15085.4716118375,15373.3686840816
14020.023859444,14570.4994616732
14642.7823398571,14343.8981878012
16217.2667469846,15488.7609468371
15620.065576978,16482.6761592006
15538.9018828938,15859.7918364338
13110.2317173484,13245.9616448711
19327.0270322914,17337.0097796072
17187.9221978395,16671.5407928565
15232.282086245,16805.2445605408
18526.1268279456,17901.5799113619
17531.2243192404,18640.3284829264
12781.2232732058,14212.4172736305
16126.7310234482,14746.6882724799
16916.0318510561,15440.3781545477
16329.1517833645,15164.1035051134
17075.9629521184,15327.1199723259
15612.4432110408,16418.2191662895
18443.624082557,17723.066662518
19392.9001111828,16458.8499492193
15527.2779760574,16957.0242970998
17021.6627626082,17862.2860834265
14400.1490537831,16036.0837082056
11854.8262158337,13689.2559257117
13271.9314295879,12919.2747853251
17259.9028718616,14266.6166508097
18690.5744393108,16653.8221797676
11841.8403466266,14430.7869231491
14809.6309866615,15996.1919781311
16535.1494559774,15141.067252154
16093.1842705031,16230.2666264365
13889.0648849455,13556.6853665917
15046.8773901834,15406.5910444705
12316.6536515825,15202.0191773896
15126.9770995649,14793.6807749939
11712.6170728567,14495.99224695
11868.0931214377,14544.7652433407
15948.324240128,16734.5305746983
17142.1205945596,15050.0675985119
15942.8528575387,17579.4850334549
15857.3708604908,15204.7045142859
15716.2203290113,15406.8566457487
17120.3822923388,16165.6741232384
15873.7094875545,16205.3844281689
17014.1555798801,17986.4006226263
13223.7598689691,14591.6021402026
13914.0510462692,16287.103554298
13641.6080625443,13313.9987123597
12284.5201674326,16218.0519942378
16827.0785024171,16557.8163826131
14449.8634475625,14102.6592805274
13771.3805286573,15243.9395982222
13981.715276583,13638.4183105132
14612.6038000235,14753.9586894073
15899.5322847134,14900.5971302654
13612.4274269442,15369.3076786813
15898.4397846834,15246.1019224822
14432.5930121142,14957.0994734223
16304.885999968,16956.3293709574
14506.584675085,13843.1930488323
17765.2235807378,17192.6724138404
17682.9495167414,17438.3250553769
12800.9715079324,14444.76948082
14550.9141415312,15922.4436792452
17338.2297925537,15306.0129234078
