albicans,alborufescens,amnicola,angelana,argyrophylla,atlantica,baumgratziana,brunnea,budlejoides,burchellii,capixaba,castaneiflora,chrysophylla,cinerascens,cipoensis,corallina,cowanii,cubatanensis,cyathanthera,dichrophylla,discolor,dispar,dura,fallax,fasciculata,ferruginata,flammea,formosa,heliotropoides,hyemalis,hypoleuca,kollmannii,kriegeriana,lepidota,longispicata,lourteigiana,lymanii,macrothyrsa,macuxi,mayarae,mellina,multispicata,navioensis,octopetala,penduliflora,pepericarpa,petroniana,polyandra,pterocaulon,punctata,racemifera,robusta,rondoniensis,rufescens,ruficalyx,ruschiana,sclerophylla,secundiflora,serialis,setosociliata,shepherdii,stenostachya,suberosa,tiliifolia,valtheri,willdenowii
ruficalyx,16.2352639222,16.2352639226,13.510075682,14.8860484521,16.235263923,14.8860484524,14.8860484528,14.8860484526,14.8860484524,13.5100756813,14.8860484524,14.8860484521,13.5100756817,14.8860484528,14.8860484528,14.8860484525,13.510075682,14.886048453,14.8860484528,13.5100756817,14.8860484524,13.5100756816,14.8860484524,16.2352639226,14.8860484528,13.5100756813,14.8860484526,14.8860484528,13.510075682,14.886048452,16.2352639221,14.8860484528,3.6600888442,3.6600888441,16.2352639233,16.2352639222,14.886048452,13.510075682,16.2352639224,16.235263923,8.3795831272,6.2607128442,16.2352639221,14.8860484524,14.8860484524,14.8860484528,14.8860484525,3.6600888442,16.235263923,13.5100756816,14.8860484528,14.8860484526,5.2727841681,13.5100756826,0,14.8860484528,14.8860484525,16.2352639219,16.2352639219,14.886048453,14.8860484525,16.2352639226,16.2352639233,13.5100756826,5.2727841681,14.8860484526
ruschiana,16.2352639234,16.2352639238,14.8860484544,7.0042489445,16.2352639242,6.4201150024,2.4292964,6.4201150026,8.9380073676,14.8860484537,8.9380073676,7.0042489445,14.8860484541,7.0042489452,12.045552254,7.0042489449,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,6.4201150024,16.2352639238,5.988009258,14.8860484537,6.4201150026,7.0042489452,14.8860484544,7.0042489444,16.2352639233,4.008179994,14.886048453,14.8860484529,16.2352639245,16.2352639234,7.0042489444,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,6.4201150024,6.4201150028,7.0042489449,14.886048453,16.2352639242,14.886048454,5.988009258,6.4201150026,14.8860484525,14.886048455,14.8860484528,0,7.0042489449,16.2352639231,16.2352639231,8.9380073682,7.0042489449,16.2352639238,16.2352639245,14.886048455,14.8860484525,6.4201150026
sclerophylla,16.2352639231,16.2352639235,14.8860484541,4.5802346922,16.2352639239,7.0042489445,7.0042489449,7.0042489447,8.9380073673,14.8860484534,8.9380073673,3.4657271246,14.8860484538,5.5840760041,12.0455522537,1.202250129,14.8860484541,8.9380073679,12.0455522537,14.8860484538,8.9380073673,14.8860484537,7.0042489445,16.2352639235,7.0042489449,14.8860484534,7.0042489447,5.5840760041,14.8860484541,4.5802346921,16.235263923,7.0042489449,14.8860484527,14.8860484526,16.2352639242,16.2352639231,4.5802346921,14.8860484541,16.2352639233,16.2352639239,14.8860484533,14.8860484523,16.235263923,8.9380073673,7.0042489445,7.0042489449,3.465727125,14.8860484527,16.2352639239,14.8860484537,7.0042489449,7.0042489447,14.8860484522,14.8860484547,14.8860484525,7.0042489449,0,16.2352639228,16.2352639228,8.9380073679,3.465727125,16.2352639235,16.2352639242,14.8860484547,14.8860484522,7.0042489447
secundiflora,10.0508220899,10.9323932733,16.2352639235,16.2352639224,14.0741888377,16.2352639227,16.2352639231,16.2352639229,16.2352639227,16.2352639228,16.2352639227,16.2352639224,16.2352639232,16.2352639231,16.2352639231,16.2352639228,16.2352639235,16.2352639233,16.2352639231,16.2352639232,16.2352639227,16.2352639231,16.2352639227,14.0741888373,16.2352639231,16.2352639228,16.2352639229,16.2352639231,16.2352639235,16.2352639223,10.0508220898,16.2352639231,16.2352639221,16.235263922,14.9424439326,10.0508220899,16.2352639223,16.2352639235,14.0741888371,14.0741888377,16.2352639227,16.2352639217,4.4475610658,16.2352639227,16.2352639227,16.2352639231,16.2352639228,16.2352639221,14.0741888377,16.2352639231,16.2352639231,16.2352639229,16.2352639216,16.2352639241,16.2352639219,16.2352639231,16.2352639228,0,1.6573450336,16.2352639233,16.2352639228,14.0741888373,14.9424439326,16.2352639241,16.2352639216,16.2352639229
serialis,10.0508220899,10.9323932733,16.2352639235,16.2352639224,14.0741888377,16.2352639227,16.2352639231,16.2352639229,16.2352639227,16.2352639228,16.2352639227,16.2352639224,16.2352639232,16.2352639231,16.2352639231,16.2352639228,16.2352639235,16.2352639233,16.2352639231,16.2352639232,16.2352639227,16.2352639231,16.2352639227,14.0741888373,16.2352639231,16.2352639228,16.2352639229,16.2352639231,16.2352639235,16.2352639223,10.0508220898,16.2352639231,16.2352639221,16.235263922,14.9424439326,10.0508220899,16.2352639223,16.2352639235,14.0741888371,14.0741888377,16.2352639227,16.2352639217,4.4475610658,16.2352639227,16.2352639227,16.2352639231,16.2352639228,16.2352639221,14.0741888377,16.2352639231,16.2352639231,16.2352639229,16.2352639216,16.2352639241,16.2352639219,16.2352639231,16.2352639228,1.6573450336,0,16.2352639233,16.2352639228,14.0741888373,14.9424439326,16.2352639241,16.2352639216,16.2352639229
setosociliata,16.2352639236,16.235263924,14.8860484546,8.9380073675,16.2352639244,8.9380073678,8.9380073682,8.938007368,7.9114825074,14.8860484539,7.9114825074,8.9380073675,14.8860484543,8.9380073682,12.0455522542,8.9380073679,14.8860484546,3.151489124,12.0455522542,14.8860484543,7.9114825074,14.8860484542,8.9380073678,16.235263924,8.9380073682,14.8860484539,8.938007368,8.9380073682,14.8860484546,8.9380073674,16.2352639235,8.9380073682,14.8860484532,14.8860484531,16.2352639247,16.2352639236,8.9380073674,14.8860484546,16.2352639238,16.2352639244,14.8860484538,14.8860484528,16.2352639235,7.9114825074,8.9380073678,8.9380073682,8.9380073679,14.8860484532,16.2352639244,14.8860484542,8.9380073682,8.938007368,14.8860484527,14.8860484552,14.886048453,8.9380073682,8.9380073679,16.2352639233,16.2352639233,0,8.9380073679,16.235263924,16.2352639247,14.8860484552,14.8860484527,8.938007368
shepherdii,16.2352639231,16.2352639235,14.8860484541,4.5802346922,16.2352639239,7.0042489445,7.0042489449,7.0042489447,8.9380073673,14.8860484534,8.9380073673,2.8128107764,14.8860484538,5.5840760041,12.0455522537,3.465727125,14.8860484541,8.9380073679,12.0455522537,14.8860484538,8.9380073673,14.8860484537,7.0042489445,16.2352639235,7.0042489449,14.8860484534,7.0042489447,5.5840760041,14.8860484541,4.5802346921,16.235263923,7.0042489449,14.8860484527,14.8860484526,16.2352639242,16.2352639231,4.5802346921,14.8860484541,16.2352639233,16.2352639239,14.8860484533,14.8860484523,16.235263923,8.9380073673,7.0042489445,7.0042489449,1.9798716364,14.8860484527,16.2352639239,14.8860484537,7.0042489449,7.0042489447,14.8860484522,14.8860484547,14.8860484525,7.0042489449,3.465727125,16.2352639228,16.2352639228,8.9380073679,0,16.2352639235,16.2352639242,14.8860484547,14.8860484522,7.0042489447
stenostachya,14.0741888376,14.074188838,16.2352639242,16.2352639231,7.5160830744,16.2352639234,16.2352639238,16.2352639236,16.2352639234,16.2352639235,16.2352639234,16.2352639231,16.2352639239,16.2352639238,16.2352639238,16.2352639235,16.2352639242,16.235263924,16.2352639238,16.2352639239,16.2352639234,16.2352639238,16.2352639234,9.533658834,16.2352639238,16.2352639235,16.2352639236,16.2352639238,16.2352639242,16.235263923,14.0741888375,16.2352639238,16.2352639228,16.2352639227,14.9424439333,14.0741888376,16.235263923,16.2352639242,7.5160830738,7.5160830744,16.2352639234,16.2352639224,14.0741888375,16.2352639234,16.2352639234,16.2352639238,16.2352639235,16.2352639228,7.5160830744,16.2352639238,16.2352639238,16.2352639236,16.2352639223,16.2352639248,16.2352639226,16.2352639238,16.2352639235,14.0741888373,14.0741888373,16.235263924,16.2352639235,0,14.9424439333,16.2352639248,16.2352639223,16.2352639236
suberosa,14.9424439329,14.9424439333,16.2352639249,16.2352639238,14.9424439337,16.2352639241,16.2352639245,16.2352639243,16.2352639241,16.2352639242,16.2352639241,16.2352639238,16.2352639246,16.2352639245,16.2352639245,16.2352639242,16.2352639249,16.2352639247,16.2352639245,16.2352639246,16.2352639241,16.2352639245,16.2352639241,14.9424439333,16.2352639245,16.2352639242,16.2352639243,16.2352639245,16.2352639249,16.2352639237,14.9424439328,16.2352639245,16.2352639235,16.2352639234,10.854847882,14.9424439329,16.2352639237,16.2352639249,14.9424439331,14.9424439337,16.2352639241,16.2352639231,14.9424439328,16.2352639241,16.2352639241,16.2352639245,16.2352639242,16.2352639235,14.9424439337,16.2352639245,16.2352639245,16.2352639243,16.235263923,16.2352639255,16.2352639233,16.2352639245,16.2352639242,14.9424439326,14.9424439326,16.2352639247,16.2352639242,14.9424439333,0,16.2352639255,16.235263923,16.2352639243
tiliifolia,16.2352639244,16.2352639248,6.8881010794,14.8860484543,16.2352639252,14.8860484546,14.886048455,14.8860484548,14.8860484546,11.1887330187,14.8860484546,14.8860484543,6.8881010791,14.886048455,14.886048455,14.8860484547,6.8881010794,14.8860484552,14.886048455,6.8881010791,14.8860484546,11.188733019,14.8860484546,16.2352639248,14.886048455,11.1887330187,14.8860484548,14.886048455,12.3162801306,14.8860484542,16.2352639243,14.886048455,13.5100756828,13.5100756827,16.2352639255,16.2352639244,14.8860484542,12.3162801306,16.2352639246,16.2352639252,13.5100756834,13.5100756824,16.2352639243,14.8860484546,14.8860484546,14.886048455,14.8860484547,13.5100756828,16.2352639252,6.888101079,14.886048455,14.8860484548,13.5100756823,4.840618636,13.5100756826,14.886048455,14.8860484547,16.2352639241,16.2352639241,14.8860484552,14.8860484547,16.2352639248,16.2352639255,0,13.5100756823,14.8860484548
valtheri,16.2352639219,16.2352639223,13.5100756817,14.8860484518,16.2352639227,14.8860484521,14.8860484525,14.8860484523,14.8860484521,13.510075681,14.8860484521,14.8860484518,13.5100756814,14.8860484525,14.8860484525,14.8860484522,13.5100756817,14.8860484527,14.8860484525,13.5100756814,14.8860484521,13.5100756813,14.8860484521,16.2352639223,14.8860484525,13.510075681,14.8860484523,14.8860484525,13.5100756817,14.8860484517,16.2352639218,14.8860484525,5.2727841683,5.2727841682,16.235263923,16.2352639219,14.8860484517,13.5100756817,16.2352639221,16.2352639227,8.3795831269,6.2607128439,16.2352639218,14.8860484521,14.8860484521,14.8860484525,14.8860484522,5.2727841683,16.2352639227,13.5100756813,14.8860484525,14.8860484523,4.314887192,13.5100756823,5.2727841681,14.8860484525,14.8860484522,16.2352639216,16.2352639216,14.8860484527,14.8860484522,16.2352639223,16.235263923,13.5100756823,0,14.8860484523
willdenowii,16.2352639232,16.2352639236,14.8860484542,7.0042489443,16.235263924,5.5646694322,6.4201150026,0.9707834824,8.9380073674,14.8860484535,8.9380073674,7.0042489443,14.8860484539,7.004248945,12.0455522538,7.0042489447,14.8860484542,8.938007368,12.0455522538,14.8860484539,8.9380073674,14.8860484538,5.5646694322,16.2352639236,6.4201150026,14.8860484535,0.5769125418,7.004248945,14.8860484542,7.0042489442,16.2352639231,6.4201150026,14.8860484528,14.8860484527,16.2352639243,16.2352639232,7.0042489442,14.8860484542,16.2352639234,16.235263924,14.8860484534,14.8860484524,16.2352639231,8.9380073674,3.6563735162,4.7766999398,7.0042489447,14.8860484528,16.235263924,14.8860484538,6.4201150026,1.4859848904,14.8860484523,14.8860484548,14.8860484526,6.4201150026,7.0042489447,16.2352639229,16.2352639229,8.938007368,7.0042489447,16.2352639236,16.2352639243,14.8860484548,14.8860484523,0
