albicans,alborufescens,amnicola,angelana,argyrophylla,atlantica,baumgratziana,brunnea,budlejoides,burchellii,capixaba,castaneiflora,chrysophylla,cinerascens,cipoensis,corallina,cowanii,cubatanensis,cyathanthera,dichrophylla,discolor,dispar,dura,fallax,fasciculata,ferruginata,flammea,formosa,heliotropoides,hyemalis,hypoleuca,kollmannii,kriegeriana,lepidota,longispicata,lourteigiana,lymanii,macrothyrsa,macuxi,mayarae,mellina,multispicata,navioensis,octopetala,penduliflora,pepericarpa,petroniana,polyandra,pterocaulon,punctata,racemifera,robusta,rondoniensis,rufescens,ruficalyx,ruschiana,sclerophylla,secundiflora,serialis,setosociliata,shepherdii,stenostachya,suberosa,tiliifolia,valtheri,willdenowii
capixaba,16.235263923,16.2352639234,14.886048454,8.9380073669,16.2352639238,8.9380073672,8.9380073676,8.9380073674,7.410011494,14.8860484533,0,8.9380073669,14.8860484537,8.9380073676,12.0455522536,8.9380073673,14.886048454,7.9114825074,12.0455522536,14.8860484537,7.410011494,14.8860484536,8.9380073672,16.2352639234,8.9380073676,14.8860484533,8.9380073674,8.9380073676,14.886048454,8.9380073668,16.2352639229,8.9380073676,14.8860484526,14.8860484525,16.2352639241,16.235263923,8.9380073668,14.886048454,16.2352639232,16.2352639238,14.8860484532,14.8860484522,16.2352639229,4.08538047,8.9380073672,8.9380073676,8.9380073673,14.8860484526,16.2352639238,14.8860484536,8.9380073676,8.9380073674,14.8860484521,14.8860484546,14.8860484524,8.9380073676,8.9380073673,16.2352639227,16.2352639227,7.9114825074,8.9380073673,16.2352639234,16.2352639241,14.8860484546,14.8860484521,8.9380073674
castaneiflora,16.2352639227,16.2352639231,14.8860484537,4.5802346918,16.2352639235,7.0042489441,7.0042489445,7.0042489443,8.9380073669,14.886048453,8.9380073669,0,14.8860484534,5.5840760037,12.0455522533,3.4657271246,14.8860484537,8.9380073675,12.0455522533,14.8860484534,8.9380073669,14.8860484533,7.0042489441,16.2352639231,7.0042489445,14.886048453,7.0042489443,5.5840760037,14.8860484537,4.5802346917,16.2352639226,7.0042489445,14.8860484523,14.8860484522,16.2352639238,16.2352639227,4.5802346917,14.8860484537,16.2352639229,16.2352639235,14.8860484529,14.8860484519,16.2352639226,8.9380073669,7.0042489441,7.0042489445,2.8128107764,14.8860484523,16.2352639235,14.8860484533,7.0042489445,7.0042489443,14.8860484518,14.8860484543,14.8860484521,7.0042489445,3.4657271246,16.2352639224,16.2352639224,8.9380073675,2.8128107764,16.2352639231,16.2352639238,14.8860484543,14.8860484518,7.0042489443
chrysophylla,16.2352639235,16.2352639239,3.5865721575,14.8860484534,16.2352639243,14.8860484537,14.8860484541,14.8860484539,14.8860484537,11.1887330178,14.8860484537,14.8860484534,0,14.8860484541,14.8860484541,14.8860484538,3.5865721575,14.8860484543,14.8860484541,0.9088497312,14.8860484537,11.1887330181,14.8860484537,16.2352639239,14.8860484541,11.1887330178,14.8860484539,14.8860484541,12.3162801297,14.8860484533,16.2352639234,14.8860484541,13.5100756819,13.5100756818,16.2352639246,16.2352639235,14.8860484533,12.3162801297,16.2352639237,16.2352639243,13.5100756825,13.5100756815,16.2352639234,14.8860484537,14.8860484537,14.8860484541,14.8860484538,13.5100756819,16.2352639243,4.7681208921,14.8860484541,14.8860484539,13.5100756814,6.8881010791,13.5100756817,14.8860484541,14.8860484538,16.2352639232,16.2352639232,14.8860484543,14.8860484538,16.2352639239,16.2352639246,6.8881010791,13.5100756814,14.8860484539
cinerascens,16.2352639234,16.2352639238,14.8860484544,5.5840760037,16.2352639242,7.0042489448,7.0042489452,7.004248945,8.9380073676,14.8860484537,8.9380073676,5.5840760037,14.8860484541,0,12.045552254,5.5840760041,14.8860484544,8.9380073682,12.045552254,14.8860484541,8.9380073676,14.886048454,7.0042489448,16.2352639238,7.0042489452,14.8860484537,7.004248945,4.415829662,14.8860484544,5.5840760036,16.2352639233,7.0042489452,14.886048453,14.8860484529,16.2352639245,16.2352639234,5.5840760036,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,8.9380073676,7.0042489448,7.0042489452,5.5840760041,14.886048453,16.2352639242,14.886048454,7.0042489452,7.004248945,14.8860484525,14.886048455,14.8860484528,7.0042489452,5.5840760041,16.2352639231,16.2352639231,8.9380073682,5.5840760041,16.2352639238,16.2352639245,14.886048455,14.8860484525,7.004248945
cipoensis,16.2352639234,16.2352639238,14.8860484544,12.0455522533,16.2352639242,12.0455522536,12.045552254,12.0455522538,12.0455522536,14.8860484537,12.0455522536,12.0455522533,14.8860484541,12.045552254,0,12.0455522537,14.8860484544,12.0455522542,8.569527834,14.8860484541,12.0455522536,14.886048454,12.0455522536,16.2352639238,12.045552254,14.8860484537,12.0455522538,12.045552254,14.8860484544,12.0455522532,16.2352639233,12.045552254,14.886048453,14.8860484529,16.2352639245,16.2352639234,12.0455522532,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,12.0455522536,12.0455522536,12.045552254,12.0455522537,14.886048453,16.2352639242,14.886048454,12.045552254,12.0455522538,14.8860484525,14.886048455,14.8860484528,12.045552254,12.0455522537,16.2352639231,16.2352639231,12.0455522542,12.0455522537,16.2352639238,16.2352639245,14.886048455,14.8860484525,12.0455522538
corallina,16.2352639231,16.2352639235,14.8860484541,4.5802346922,16.2352639239,7.0042489445,7.0042489449,7.0042489447,8.9380073673,14.8860484534,8.9380073673,3.4657271246,14.8860484538,5.5840760041,12.0455522537,0,14.8860484541,8.9380073679,12.0455522537,14.8860484538,8.9380073673,14.8860484537,7.0042489445,16.2352639235,7.0042489449,14.8860484534,7.0042489447,5.5840760041,14.8860484541,4.5802346921,16.235263923,7.0042489449,14.8860484527,14.8860484526,16.2352639242,16.2352639231,4.5802346921,14.8860484541,16.2352639233,16.2352639239,14.8860484533,14.8860484523,16.235263923,8.9380073673,7.0042489445,7.0042489449,3.465727125,14.8860484527,16.2352639239,14.8860484537,7.0042489449,7.0042489447,14.8860484522,14.8860484547,14.8860484525,7.0042489449,1.202250129,16.2352639228,16.2352639228,8.9380073679,3.465727125,16.2352639235,16.2352639242,14.8860484547,14.8860484522,7.0042489447
cowanii,16.2352639238,16.2352639242,2.621479352,14.8860484537,16.2352639246,14.886048454,14.8860484544,14.8860484542,14.886048454,11.1887330181,14.886048454,14.8860484537,3.5865721575,14.8860484544,14.8860484544,14.8860484541,0,14.8860484546,14.8860484544,3.5865721575,14.886048454,11.1887330184,14.886048454,16.2352639242,14.8860484544,11.1887330181,14.8860484542,14.8860484544,12.31628013,14.8860484536,16.2352639237,14.8860484544,13.5100756822,13.5100756821,16.2352639249,16.2352639238,14.8860484536,12.31628013,16.235263924,16.2352639246,13.5100756828,13.5100756818,16.2352639237,14.886048454,14.886048454,14.8860484544,14.8860484541,13.5100756822,16.2352639246,4.7681208924,14.8860484544,14.8860484542,13.5100756817,6.8881010794,13.510075682,14.8860484544,14.8860484541,16.2352639235,16.2352639235,14.8860484546,14.8860484541,16.2352639242,16.2352639249,6.8881010794,13.5100756817,14.8860484542
cubatanensis,16.2352639236,16.235263924,14.8860484546,8.9380073675,16.2352639244,8.9380073678,8.9380073682,8.938007368,7.9114825074,14.8860484539,7.9114825074,8.9380073675,14.8860484543,8.9380073682,12.0455522542,8.9380073679,14.8860484546,0,12.0455522542,14.8860484543,7.9114825074,14.8860484542,8.9380073678,16.235263924,8.9380073682,14.8860484539,8.938007368,8.9380073682,14.8860484546,8.9380073674,16.2352639235,8.9380073682,14.8860484532,14.8860484531,16.2352639247,16.2352639236,8.9380073674,14.8860484546,16.2352639238,16.2352639244,14.8860484538,14.8860484528,16.2352639235,7.9114825074,8.9380073678,8.9380073682,8.9380073679,14.8860484532,16.2352639244,14.8860484542,8.9380073682,8.938007368,14.8860484527,14.8860484552,14.886048453,8.9380073682,8.9380073679,16.2352639233,16.2352639233,3.151489124,8.9380073679,16.235263924,16.2352639247,14.8860484552,14.8860484527,8.938007368
cyathanthera,16.2352639234,16.2352639238,14.8860484544,12.0455522533,16.2352639242,12.0455522536,12.045552254,12.0455522538,12.0455522536,14.8860484537,12.0455522536,12.0455522533,14.8860484541,12.045552254,8.569527834,12.0455522537,14.8860484544,12.0455522542,0,14.8860484541,12.0455522536,14.886048454,12.0455522536,16.2352639238,12.045552254,14.8860484537,12.0455522538,12.045552254,14.8860484544,12.0455522532,16.2352639233,12.045552254,14.886048453,14.8860484529,16.2352639245,16.2352639234,12.0455522532,14.8860484544,16.2352639236,16.2352639242,14.8860484536,14.8860484526,16.2352639233,12.0455522536,12.0455522536,12.045552254,12.0455522537,14.886048453,16.2352639242,14.886048454,12.045552254,12.0455522538,14.8860484525,14.886048455,14.8860484528,12.045552254,12.0455522537,16.2352639231,16.2352639231,12.0455522542,12.0455522537,16.2352639238,16.2352639245,14.886048455,14.8860484525,12.0455522538
dichrophylla,16.2352639235,16.2352639239,3.5865721575,14.8860484534,16.2352639243,14.8860484537,14.8860484541,14.8860484539,14.8860484537,11.1887330178,14.8860484537,14.8860484534,0.9088497312,14.8860484541,14.8860484541,14.8860484538,3.5865721575,14.8860484543,14.8860484541,0,14.8860484537,11.1887330181,14.8860484537,16.2352639239,14.8860484541,11.1887330178,14.8860484539,14.8860484541,12.3162801297,14.8860484533,16.2352639234,14.8860484541,13.5100756819,13.5100756818,16.2352639246,16.2352639235,14.8860484533,12.3162801297,16.2352639237,16.2352639243,13.5100756825,13.5100756815,16.2352639234,14.8860484537,14.8860484537,14.8860484541,14.8860484538,13.5100756819,16.2352639243,4.7681208921,14.8860484541,14.8860484539,13.5100756814,6.8881010791,13.5100756817,14.8860484541,14.8860484538,16.2352639232,16.2352639232,14.8860484543,14.8860484538,16.2352639239,16.2352639246,6.8881010791,13.5100756814,14.8860484539
discolor,16.235263923,16.2352639234,14.886048454,8.9380073669,16.2352639238,8.9380073672,8.9380073676,8.9380073674,4.245253268,14.8860484533,7.410011494,8.9380073669,14.8860484537,8.9380073676,12.0455522536,8.9380073673,14.886048454,7.9114825074,12.0455522536,14.8860484537,0,14.8860484536,8.9380073672,16.2352639234,8.9380073676,14.8860484533,8.9380073674,8.9380073676,14.886048454,8.9380073668,16.2352639229,8.9380073676,14.8860484526,14.8860484525,16.2352639241,16.235263923,8.9380073668,14.886048454,16.2352639232,16.2352639238,14.8860484532,14.8860484522,16.2352639229,7.410011494,8.9380073672,8.9380073676,8.9380073673,14.8860484526,16.2352639238,14.8860484536,8.9380073676,8.9380073674,14.8860484521,14.8860484546,14.8860484524,8.9380073676,8.9380073673,16.2352639227,16.2352639227,7.9114825074,8.9380073673,16.2352639234,16.2352639241,14.8860484546,14.8860484521,8.9380073674
dispar,16.2352639234,16.2352639238,11.1887330184,14.8860484533,16.2352639242,14.8860484536,14.886048454,14.8860484538,14.8860484536,4.2337374757,14.8860484536,14.8860484533,11.1887330181,14.886048454,14.886048454,14.8860484537,11.1887330184,14.8860484542,14.886048454,11.1887330181,14.8860484536,0,14.8860484536,16.2352639238,14.886048454,4.2337374757,14.8860484538,14.886048454,12.3162801296,14.8860484532,16.2352639233,14.886048454,13.5100756818,13.5100756817,16.2352639245,16.2352639234,14.8860484532,12.3162801296,16.2352639236,16.2352639242,13.5100756824,13.5100756814,16.2352639233,14.8860484536,14.8860484536,14.886048454,14.8860484537,13.5100756818,16.2352639242,11.188733018,14.886048454,14.8860484538,13.5100756813,11.188733019,13.5100756816,14.886048454,14.8860484537,16.2352639231,16.2352639231,14.8860484542,14.8860484537,16.2352639238,16.2352639245,11.188733019,13.5100756813,14.8860484538
dura,16.235263923,16.2352639234,14.886048454,7.0042489441,16.2352639238,4.410583092,6.4201150024,5.5646694322,8.9380073672,14.8860484533,8.9380073672,7.0042489441,14.8860484537,7.0042489448,12.0455522536,7.0042489445,14.886048454,8.9380073678,12.0455522536,14.8860484537,8.9380073672,14.8860484536,0,16.2352639234,6.4201150024,14.8860484533,5.5646694322,7.0042489448,14.886048454,7.004248944,16.2352639229,6.4201150024,14.8860484526,14.8860484525,16.2352639241,16.235263923,7.004248944,14.886048454,16.2352639232,16.2352639238,14.8860484532,14.8860484522,16.2352639229,8.9380073672,5.564669432,5.5646694324,7.0042489445,14.8860484526,16.2352639238,14.8860484536,6.4201150024,5.5646694322,14.8860484521,14.8860484546,14.8860484524,6.4201150024,7.0042489445,16.2352639227,16.2352639227,8.9380073678,7.0042489445,16.2352639234,16.2352639241,14.8860484546,14.8860484521,5.5646694322
fallax,14.0741888376,14.074188838,16.2352639242,16.2352639231,9.5336588344,16.2352639234,16.2352639238,16.2352639236,16.2352639234,16.2352639235,16.2352639234,16.2352639231,16.2352639239,16.2352639238,16.2352639238,16.2352639235,16.2352639242,16.235263924,16.2352639238,16.2352639239,16.2352639234,16.2352639238,16.2352639234,0,16.2352639238,16.2352639235,16.2352639236,16.2352639238,16.2352639242,16.235263923,14.0741888375,16.2352639238,16.2352639228,16.2352639227,14.9424439333,14.0741888376,16.235263923,16.2352639242,9.5336588338,9.5336588344,16.2352639234,16.2352639224,14.0741888375,16.2352639234,16.2352639234,16.2352639238,16.2352639235,16.2352639228,9.5336588344,16.2352639238,16.2352639238,16.2352639236,16.2352639223,16.2352639248,16.2352639226,16.2352639238,16.2352639235,14.0741888373,14.0741888373,16.235263924,16.2352639235,9.533658834,14.9424439333,16.2352639248,16.2352639223,16.2352639236
