species,isothermality,precip_seasonality,solar_radiation,soil_pH
alborufescens,80.3776397705078,52,18175.833984375,58.3825302124023
alborufescens,68.3494873046875,61,15591.0830078125,54
alborufescens,81.8728637695312,75,17463.666015625,59.3343391418457
alborufescens,80.9326782226562,73,16971.416015625,57
alborufescens,87.6962509155273,53,16145.5830078125,42.352409362793
alborufescens,70.0822601318359,94,17180.083984375,55.0933723449707
alborufescens,73.1894454956055,87,16183.1669921875,55
alborufescens,69.509521484375,83,16111.9169921875,57.5391578674316
alborufescens,74.8501052856445,100,17778.333984375,59.8042182922363
alborufescens,68.4875030517578,87,16827.5,57.6054229736328
alborufescens,69.9823226928711,81,16929.333984375,59.0271072387695
alborufescens,67.7874450683594,88,21415.833984375,81.4759063720703
alborufescens,70.9591674804688,85,16763.166015625,52.9367485046387
alborufescens,63.4934768676758,59,15730.5,65.6686782836914
alborufescens,72.4465255737305,86,17616.416015625,57
alborufescens,68.6712646484375,81,17368.5,54.475902557373
alborufescens,85.5462112426758,63,16001.1669921875,45
alborufescens,74.5118560791016,139,19029.666015625,70.4216842651367
alborufescens,70.0936889648438,87,16093.25,56.6686744689941
alborufescens,79.9669418334961,49,16014.5,46.171688079834
alborufescens,72.6004257202148,60,16397.416015625,51.9006042480469
alborufescens,69.3490219116211,81,16989.916015625,55.2228927612305
alborufescens,67.9355773925781,76,15612.8330078125,56
alborufescens,69.431282043457,105,17135.333984375,67
alborufescens,79.9264602661133,56,16021.9169921875,42.5753021240234
alborufescens,78.3915405273438,92,17865.583984375,55.1234931945801
alborufescens,83.5600357055664,45,16950.166015625,51
alborufescens,69.9063873291016,31,17249.083984375,66.4427719116211
alborufescens,66.512077331543,55,18025.5,64.2379531860352
alborufescens,73.0767974853516,77,14598.6669921875,62.5722885131836
alborufescens,67.6598434448242,82,14691,63.4006042480469
alborufescens,79.3695602416992,65,17260.5,45.5512046813965
alborufescens,84.1014709472656,51,16177.4169921875,46.930721282959
alborufescens,76.8813323974609,55,17421.916015625,46
alborufescens,80.6051025390625,56,16261.0830078125,44
alborufescens,89.230094909668,44,17728.583984375,50.9548187255859
alborufescens,70.5835571289062,60,16437.416015625,51.3463859558105
alborufescens,90.4680480957031,41,17477.75,51
alborufescens,66.1948471069336,107,17788.333984375,53.9939765930176
alborufescens,71.3642349243164,82,17203.166015625,60
alborufescens,79.4550933837891,86,15359.5830078125,47.4427719116211
alborufescens,69.4240112304688,81,17584.916015625,56
alborufescens,70.7830429077148,92,17336.666015625,56.1355438232422
alborufescens,87.1387329101562,66,16176.5,44.4518089294434
alborufescens,71.2397842407227,77,15019.0830078125,61.274097442627
alborufescens,64.8163833618164,52,17519.166015625,64
alborufescens,78.1096038818359,92,17836.666015625,55.3885536193848
alborufescens,76.8617477416992,93,17985.583984375,60.3102416992188
alborufescens,69.5442657470703,57,17716,58.9578323364258
alborufescens,85.8898696899414,59,16310.8330078125,47
alborufescens,71.6800842285156,83,17005.416015625,69.3192749023438
