state,mean_no,intercept_no
AF,0.763631234983568,0.813279713057205
AFother,0.631061852547335,0.582353546259548
other,0.538283574441994,0.618457962847368
AF,0.786702586498623,0.799663784914555
AFother,0.653202065846462,0.575511177372459
other,0.530296739820225,0.589194851068983
AF,0.750021349508929,0.771446668657297
AFother,0.591382997014536,0.560231088535355
other,0.532676107381567,0.629023408863098
AF,0.783078486471685,0.850922467575686
AFother,0.667195348637692,0.600230802645238
other,0.529952409574817,0.616268074342309
AF,0.766261107300232,0.864150498759472
AFother,0.666623269011043,0.557527750145898
other,0.494116322831634,0.500152010335599
AF,0.786471048200252,0.87580719426248
AFother,0.621738770993914,0.531484413138894
other,0.528526071164053,0.549990021504122
AF,0.75180668234347,0.809309389224053
AFother,0.664450665820119,0.596242694484201
other,0.49244788178048,0.541904524598389
AF,0.782039384404018,0.758472326120938
AFother,0.612168960243929,0.572520032720974
other,0.528551986416873,0.650181872760411
AF,0.780287193165061,0.736781229451303
AFother,0.61926556672529,0.564408262816592
other,0.529475793779665,0.662712490451767
AF,0.764590708465196,0.707573275642888
AFother,0.663039464757577,0.580294982618362
other,0.496201478714507,0.586172586902741
AF,0.783852444798281,0.871912278819807
AFother,0.626649887025774,0.593017118117624
other,0.530512423891176,0.626629184899155
AF,0.750771629665903,0.698523922949511
AFother,0.668261141213862,0.561618634735181
other,0.492910243852157,0.627174528375987
AF,0.781184877725514,0.752668955168468
AFother,0.658063002358385,0.586074827808711
other,0.569878262251169,0.691517752890977
AF,0.768495402752467,0.751821080198762
AFother,0.655349266126609,0.532034363266078
other,0.530473648431474,0.656994033493064
AF,0.788538999260206,0.810951530093956
AFother,0.669116162991286,0.637338094080144
other,0.532005275257702,0.595384250820449
AF,0.765485489453249,0.811986602266016
AFother,0.672278491340158,0.618817909482685
other,0.495895079710381,0.557941671191828
AF,0.787406785905055,0.795019707911132
AFother,0.637423325788076,0.620127063868211
other,0.527866885461909,0.5988951810392
AF,0.768761320975056,0.79256252766137
AFother,0.664212388856485,0.565389267157786
other,0.49614694908714,0.531015411490888
AF,0.787824213245875,0.791010736493823
AFother,0.625438746526652,0.573613604841549
other,0.569184409797491,0.764837898414758
AF,0.781742874252205,0.69543183795612
AFother,0.666671343346391,0.565404212543084
other,0.528201624129364,0.594363944399526
AF,0.76296706219542,0.892128100159122
AFother,0.668960053508999,0.558418871075501
other,0.496276178469314,0.551656159632857
AF,0.788719651715152,0.813497394543162
AFother,0.62701677146064,0.579918034977048
other,0.525995879061996,0.655810195320217
AF,0.782539588332578,0.611127256461557
AFother,0.626311729922588,0.584416694720149
other,0.528092173919937,0.627435490165679
AF,0.778991503217607,0.779438939049933
AFother,0.589069689196135,0.568366657029774
other,0.529950352026237,0.542650133291195
AF,0.770080903496588,0.894249610839705
AFother,0.66692944398793,0.567280111099963
other,0.497240137432614,0.6322454575378
AF,0.767558613881401,0.709029567971862
AFother,0.665410965793982,0.626248596509388
other,0.499794509876181,0.559126921771568
AF,0.774565961556167,0.897507226029926
AFother,0.677965095618175,0.619927242125758
other,0.528381291915937,0.64316192738348
AF,0.763594680673055,0.790689923419707
AFother,0.664535852879933,0.547732224789846
other,0.496520832157324,0.556254748344236
AF,0.785093527453426,0.679536147860473
AFother,0.650079073690643,0.562911718093801
other,0.526631931633623,0.601012600248257
AF,0.782774560819944,0.756470799725052
AFother,0.653945328739495,0.545440185705469
other,0.569567327579277,0.666365930168176
AF,0.786250997890482,0.678435211575279
AFother,0.617108035875227,0.558108069616502
other,0.575110694013205,0.660709371008088
AF,0.773011554337534,0.822808664424789
AFother,0.652392831901382,0.554720735148071
other,0.528730671509453,0.53105860020005
AF,0.768731987106247,0.706701122780605
AFother,0.666317492346009,0.578934114069516
other,0.492324608154467,0.646393012863204
AF,0.754931064225576,0.845545010564873
AFother,0.634082712940889,0.636481665696104
other,0.495061166399882,0.57592567592371
AF,0.787205558212778,0.871512155346625
AFother,0.665513201551426,0.566369492597608
other,0.521460543850686,0.552763983458774
AF,0.76704456410308,0.750652236657222
AFother,0.624917490763231,0.601541058228039
other,0.465715862097646,0.600738790148399
AF,0.784973750346947,0.722624052470085
AFother,0.630273474916994,0.620631674302167
other,0.570197323169356,0.700915834143369
AF,0.771048837858706,0.640003151726377
AFother,0.631264725837185,0.615303453538111
other,0.571105950976991,0.712956607625782
AF,0.765412516386797,0.807184636773626
AFother,0.617872618550686,0.526941291384413
other,0.492322169186711,0.573198604628375
AF,0.770574107286309,0.721160134118839
AFother,0.631799198752007,0.584807512866369
other,0.528957282237146,0.616169242756328
AF,0.766950857216732,0.848050478970695
AFother,0.665668118015083,0.549520408724498
other,0.497017070415527,0.558665860780317
AF,0.781886142321189,0.791297593502877
AFother,0.624436184819685,0.578703598414044
other,0.571682792838194,0.696085277960867
AF,0.779377374969233,0.761997696597394
AFother,0.573140360515977,0.553363873400093
other,0.527459363273148,0.589487913235468
AF,0.776706225773467,0.678091196426461
AFother,0.623375079901109,0.597947701615876
other,0.532230066521847,0.591777260678491
AF,0.787208999863839,0.774571481852494
AFother,0.633380460171135,0.611201305904694
other,0.527663188933264,0.635127137526358
AF,0.769656327012632,0.705815468840021
AFother,0.654262494860229,0.536588690697867
other,0.53548922923374,0.547864089643488
AF,0.783776457378581,0.781536890317883
AFother,0.658589379648314,0.593252491019136
other,0.529017266520647,0.605707886696199
AF,0.764630167790827,0.893371051222726
AFother,0.667624172953139,0.594528597621507
other,0.495871787395048,0.583365757878456
AF,0.761382106203012,0.756258607395433
AFother,0.635067247150511,0.588022503792626
other,0.494015605441129,0.590688566433639
AF,0.785262307172665,0.622830525062537
AFother,0.623419610775917,0.556116283219024
