lnlik,n_par,aic,aicc
d_lin_fit43,-199.615644379109,8,415.231288758218,414.915499284534
sd_s_lin_fit43,-196.370501435419,10,412.741002870838,412.341002870838
sxd_sx_lin_fit43,-198.159273817799,12,420.318547635599,419.827981597863
d_lin_fit44,-189.92066343245,8,395.841326864901,395.525537391217
sd_s_lin_fit44,-184.589869418192,10,389.179738836385,388.779738836385
sxd_sx_lin_fit44,-185.102328943254,12,394.204657886508,393.714091848772
d_lin_fit45,-193.670314182705,8,403.34062836541,403.024838891726
sd_s_lin_fit45,-190.010521396208,10,400.021042792416,399.621042792416
sxd_sx_lin_fit45,-190.0155285233,12,404.0310570466,403.540491008864
d_lin_fit46,-181.233253152679,8,378.466506305358,378.150716831673
sd_s_lin_fit46,-174.727322096628,10,369.454644193256,369.054644193256
sxd_sx_lin_fit46,-177.397518217042,12,378.795036434083,378.304470396347
d_lin_fit47,-180.01531752228,8,376.03063504456,375.714845570876
sd_s_lin_fit47,-174.927830194057,10,369.855660388115,369.455660388115
sxd_sx_lin_fit47,-177.862398928837,12,379.724797857673,379.234231819937
d_lin_fit48,-196.401510133245,8,408.80302026649,408.487230792806
sd_s_lin_fit48,-190.422470070391,10,400.844940140783,400.444940140783
sxd_sx_lin_fit48,-190.303777641817,12,404.607555283634,404.116989245898
d_lin_fit49,-183.393726615368,8,382.787453230737,382.471663757052
sd_s_lin_fit49,-178.412751029908,10,376.825502059817,376.425502059817
sxd_sx_lin_fit49,-180.440588475954,12,384.881176951908,384.390610914172
d_lin_fit50,-210.019365759249,8,436.038731518498,435.722942044814
sd_s_lin_fit50,-206.349986419149,10,432.699972838298,432.299972838298
sxd_sx_lin_fit50,-206.338746760901,12,436.677493521802,436.186927484066
d_lin_fit51,-176.135464048746,8,368.270928097491,367.955138623807
sd_s_lin_fit51,-170.849971705682,10,361.699943411365,361.299943411365
sxd_sx_lin_fit51,-170.763933135985,12,365.52786627197,365.037300234234
d_lin_fit52,-176.904234517348,8,369.808469034695,369.492679561011
sd_s_lin_fit52,-174.325359973325,10,368.650719946649,368.250719946649
sxd_sx_lin_fit52,-175.543376417684,12,375.086752835368,374.596186797632
d_lin_fit53,-199.642740945658,8,415.285481891316,414.969692417632
sd_s_lin_fit53,-213.702062028006,10,447.404124056012,447.004124056012
sxd_sx_lin_fit53,-200.27828564452,12,424.55657128904,424.066005251305
d_lin_fit54,-187.817649255747,8,391.635298511494,391.31950903781
sd_s_lin_fit54,-184.565545133967,10,389.131090267933,388.731090267933
sxd_sx_lin_fit54,-184.565485742496,12,393.130971484992,392.640405447256
d_lin_fit55,-182.568729472845,8,381.137458945691,380.821669472006
sd_s_lin_fit55,-176.701921825406,10,373.403843650813,373.003843650813
sxd_sx_lin_fit55,-178.02501174892,12,380.05002349784,379.559457460104
d_lin_fit56,-199.60561338984,8,415.211226779681,414.895437305997
sd_s_lin_fit56,-193.979431569879,10,407.958863139758,407.558863139758
sxd_sx_lin_fit56,-194.99597051424,12,413.991941028479,413.501374990744
d_lin_fit57,-184.02620433408,8,384.05240866816,383.736619194476
sd_s_lin_fit57,-179.923073282109,10,379.846146564219,379.446146564219
sxd_sx_lin_fit57,-179.891904653386,12,383.783809306772,383.293243269037
d_lin_fit58,-176.764847471837,8,369.529694943675,369.21390546999
sd_s_lin_fit58,-173.47851234739,10,366.95702469478,366.55702469478
sxd_sx_lin_fit58,-176.805102222035,12,377.61020444407,377.119638406334
d_lin_fit59,-187.80394365211,8,391.607887304219,391.292097830535
sd_s_lin_fit59,-182.93177549082,10,385.863550981641,385.463550981641
sxd_sx_lin_fit59,-185.841815819468,12,395.683631638936,395.1930656012
d_lin_fit60,-188.391091952481,8,392.782183904962,392.466394431278
sd_s_lin_fit60,-182.775951773103,10,385.551903546206,385.151903546206
sxd_sx_lin_fit60,-182.77666098201,12,389.553321964021,389.062755926285
d_lin_fit61,-171.456871808007,8,358.913743616015,358.597954142331
sd_s_lin_fit61,-166.464365784086,10,352.928731568172,352.528731568172
sxd_sx_lin_fit61,-168.839787849645,12,361.679575699291,361.189009661555
d_lin_fit62,-189.334659064646,8,394.669318129291,394.353528655607
sd_s_lin_fit62,-185.043470930577,10,390.086941861155,389.686941861155
sxd_sx_lin_fit62,-184.88582756433,12,393.77165512866,393.281089090924
d_lin_fit63,-181.746910734121,8,379.493821468243,379.178031994558
sd_s_lin_fit63,-174.762808372004,10,369.525616744008,369.125616744008
sxd_sx_lin_fit63,-174.76338158426,12,373.52676316852,373.036197130784
d_lin_fit64,-180.853728871068,8,377.707457742136,377.391668268452
sd_s_lin_fit64,-188.221545933451,10,396.443091866902,396.043091866902
sxd_sx_lin_fit64,-179.871074012137,12,383.742148024274,383.251581986538
d_lin_fit65,-201.073777704022,8,418.147555408044,417.83176593436
sd_s_lin_fit65,-195.974351114659,10,411.948702229318,411.548702229318
sxd_sx_lin_fit65,-196.56054729354,12,417.12109458708,416.630528549344
d_lin_fit66,-190.618748161694,8,397.237496323388,396.921706849704
sd_s_lin_fit66,-188.716469043571,10,397.432938087142,397.032938087142
sxd_sx_lin_fit66,-192.482396290963,12,408.964792581927,408.474226544191
d_lin_fit67,-169.511754476417,8,355.023508952833,354.707719479149
sd_s_lin_fit67,-165.29573780871,10,350.591475617419,350.191475617419
sxd_sx_lin_fit67,-165.296572706866,12,354.593145413732,354.102579375996
d_lin_fit68,-189.107326553056,8,394.214653106112,393.898863632427
sd_s_lin_fit68,-183.452486748404,10,386.904973496809,386.504973496809
sxd_sx_lin_fit68,-185.671183534911,12,395.342367069822,394.851801032086
d_lin_fit69,-182.386825299288,8,380.773650598575,380.457861124891
sd_s_lin_fit69,-181.065102516575,10,382.13020503315,381.73020503315
sxd_sx_lin_fit69,-177.78513274994,12,379.570265499881,379.079699462145
d_lin_fit70,-183.46450424584,8,382.92900849168,382.613219017996
sd_s_lin_fit70,-179.334035575877,10,378.668071151754,378.268071151754
sxd_sx_lin_fit70,-180.821330628913,12,385.642661257826,385.15209522009
d_lin_fit71,-187.780980048506,8,391.561960097011,391.246170623327
sd_s_lin_fit71,-182.573922529489,10,385.147845058979,384.747845058979
sxd_sx_lin_fit71,-183.390090396102,12,390.780180792204,390.289614754468
d_lin_fit72,-194.706742761865,8,405.413485523731,405.097696050046
sd_s_lin_fit72,-190.002818416289,10,400.005636832578,399.605636832578
sxd_sx_lin_fit72,-190.44245279569,12,404.88490559138,404.394339553644
d_lin_fit73,-189.693777736219,8,395.387555472438,395.071765998754
sd_s_lin_fit73,-183.09936575786,10,386.198731515721,385.798731515721
sxd_sx_lin_fit73,-183.607296535114,12,391.214593070227,390.724027032491
d_lin_fit74,-186.479579266134,8,388.959158532268,388.643369058584
sd_s_lin_fit74,-182.504626030103,10,385.009252060206,384.609252060206
sxd_sx_lin_fit74,-183.169191741833,12,390.338383483665,389.84781744593
d_lin_fit75,-171.738276295964,8,359.476552591927,359.160763118243
sd_s_lin_fit75,-166.009400332576,10,352.018800665152,351.618800665152
sxd_sx_lin_fit75,-167.805330486481,12,359.610660972962,359.120094935226
d_lin_fit76,-201.973597518922,8,419.947195037843,419.631405564159
sd_s_lin_fit76,-198.214201223649,10,416.428402447298,416.028402447298
sxd_sx_lin_fit76,-198.182997774659,12,420.365995549318,419.875429511582
d_lin_fit77,-199.657876506707,8,415.315753013414,414.99996353973
sd_s_lin_fit77,-201.588810054003,10,423.177620108006,422.777620108006
sxd_sx_lin_fit77,-198.18324305735,12,420.3664861147,419.875920076964
d_lin_fit78,-186.913925014718,8,389.827850029436,389.512060555752
sd_s_lin_fit78,-184.129247445352,10,388.258494890704,387.858494890704
sxd_sx_lin_fit78,-185.873337685243,12,395.746675370485,395.256109332749
d_lin_fit79,-196.584358496969,8,409.168716993938,408.852927520254
sd_s_lin_fit79,-195.118269232684,10,410.236538465367,409.836538465367
sxd_sx_lin_fit79,-196.781586280177,12,417.563172560355,417.072606522619
d_lin_fit80,-185.032337455833,8,386.064674911667,385.748885437983
sd_s_lin_fit80,-180.097432313579,10,380.194864627158,379.794864627158
sxd_sx_lin_fit80,-180.53342634547,12,385.06685269094,384.576286653205
d_lin_fit81,-183.051538350001,8,382.103076700002,381.787287226317
sd_s_lin_fit81,-177.110205240924,10,374.220410481847,373.820410481847
sxd_sx_lin_fit81,-178.172957813818,12,380.345915627635,379.8553495899
d_lin_fit82,-200.622357514415,8,417.24471502883,416.928925555146
sd_s_lin_fit82,-194.374005228944,10,408.748010457888,408.348010457888
sxd_sx_lin_fit82,-197.00161171031,12,418.003223420621,417.512657382885
d_lin_fit83,-187.432437878104,8,390.864875756208,390.549086282524
sd_s_lin_fit83,-183.55497706531,10,387.10995413062,386.70995413062
sxd_sx_lin_fit83,-184.793337787046,12,393.586675574092,393.096109536356
d_lin_fit84,-191.953191264086,8,399.906382528171,399.590593054487
sd_s_lin_fit84,-190.072305794106,10,400.144611588212,399.744611588212
sxd_sx_lin_fit84,-190.072136133538,12,404.144272267076,403.65370622934
d_lin_fit85,-182.414539217635,8,380.82907843527,380.513288961586
sd_s_lin_fit85,-180.051315402525,10,380.10263080505,379.70263080505
sxd_sx_lin_fit85,-178.784301070166,12,381.568602140332,381.078036102596
d_lin_fit86,-180.1571172994,8,376.3142345988,375.998445125116
sd_s_lin_fit86,-175.863709645716,10,371.727419291433,371.327419291433
sxd_sx_lin_fit86,-175.859199939987,12,375.718399879973,375.227833842238
d_lin_fit87,-169.937628114474,8,355.875256228949,355.559466755264
sd_s_lin_fit87,-163.859941895311,10,347.719883790622,347.319883790622
sxd_sx_lin_fit87,-163.873560321997,12,351.747120643995,351.256554606259
d_lin_fit88,-198.800841139595,8,413.60168227919,413.285892805505
sd_s_lin_fit88,-193.202762138353,10,406.405524276705,406.005524276705
sxd_sx_lin_fit88,-193.124439923187,12,410.248879846375,409.758313808639
d_lin_fit89,-187.855954017204,8,391.711908034407,391.396118560723
sd_s_lin_fit89,-184.346119075727,10,388.692238151454,388.292238151454
sxd_sx_lin_fit89,-186.207341585381,12,396.414683170761,395.924117133025
d_lin_fit90,-184.80237297206,8,385.60474594412,385.288956470435
sd_s_lin_fit90,-180.917085427577,10,381.834170855155,381.434170855155
sxd_sx_lin_fit90,-180.750986176889,12,385.501972353779,385.011406316043
d_lin_fit91,-186.6285345035,8,389.257069006999,388.941279533315
sd_s_lin_fit91,-181.470831284803,10,382.941662569605,382.541662569605
sxd_sx_lin_fit91,-181.885864697219,12,387.771729394438,387.281163356702
d_lin_fit92,-185.506076985627,8,387.012153971255,386.696364497571
sd_s_lin_fit92,-180.130682928417,10,380.261365856835,379.861365856835
sxd_sx_lin_fit92,-182.725095411354,12,389.450190822708,388.959624784972
d_lin_fit93,-197.362033226572,8,410.724066453144,410.40827697946
sd_s_lin_fit93,-195.016550039521,10,410.033100079041,409.633100079041
sxd_sx_lin_fit93,-195.016798858414,12,414.033597716827,413.543031679091
d_lin_fit94,-197.283093761087,8,410.566187522174,410.25039804849
sd_s_lin_fit94,-192.265437309554,10,404.530874619108,404.130874619109
sxd_sx_lin_fit94,-192.277670450523,12,408.555340901045,408.064774863309
d_lin_fit95,-186.473863622232,8,388.947727244465,388.63193777078
sd_s_lin_fit95,-181.740300482248,10,383.480600964497,383.080600964497
sxd_sx_lin_fit95,-181.365443709943,12,386.730887419886,386.24032138215
d_lin_fit96,-195.081179868395,8,406.16235973679,405.846570263106
sd_s_lin_fit96,-191.001124299916,10,402.002248599831,401.602248599831
sxd_sx_lin_fit96,-191.003711403117,12,406.007422806235,405.516856768499
d_lin_fit97,-191.438556049893,8,398.877112099786,398.561322626102
sd_s_lin_fit97,-189.832572583054,10,399.665145166108,399.265145166108
sxd_sx_lin_fit97,-189.812220891589,12,403.624441783178,403.133875745442
d_lin_fit98,-186.0512399857,8,388.102479971399,387.786690497715
sd_s_lin_fit98,-182.449106475928,10,384.898212951855,384.498212951855
sxd_sx_lin_fit98,-182.367303653093,12,388.734607306185,388.24404126845
d_lin_fit99,-190.876714482201,8,397.753428964402,397.437639490717
sd_s_lin_fit99,-188.102204255083,10,396.204408510165,395.804408510165
sxd_sx_lin_fit99,-190.5190622249,12,405.0381244498,404.547558412064
