lnlik,n_par,aic,aicc
d_fit57,-170.107321840725,5,350.214643681451,350.014643681451
sd_fit57,-167.866443035661,6,347.732886071322,347.495597935729
sxd_fit57,-167.866459816797,7,349.732919633594,349.457057564629
d_fit58,-164.643641953071,5,339.287283906141,339.087283906141
sd_fit58,-163.342279450098,6,338.684558900195,338.447270764602
sxd_fit58,-163.342289025289,7,340.684578050578,340.408715981612
d_fit59,-179.200212430196,5,368.400424860392,368.200424860392
sd_fit59,-178.191432014079,6,368.382864028157,368.145575892564
sxd_fit59,-177.859501578769,7,369.719003157539,369.443141088573
d_fit60,-175.552924443905,5,361.105848887809,360.905848887809
sd_fit60,-173.592362917823,6,359.184725835645,358.947437700052
sxd_fit60,-173.588566964874,7,361.177133929747,360.901271860782
d_fit61,-160.71391184129,5,331.42782368258,331.22782368258
sd_fit61,-159.221974841818,6,330.443949683636,330.206661548043
sxd_fit61,-159.221968262733,7,332.443936525467,332.168074456501
d_fit62,-177.555607504638,5,365.111215009276,364.911215009276
sd_fit62,-175.884159664205,6,363.76831932841,363.531031192816
sxd_fit62,-175.884168819601,7,365.768337639202,365.492475570236
d_fit63,-170.494334606249,5,350.988669212498,350.788669212498
sd_fit63,-168.423541952896,6,348.847083905791,348.609795770198
sxd_fit63,-167.867890323144,7,349.735780646287,349.459918577322
d_fit64,-168.290624197635,5,346.581248395271,346.381248395271
sd_fit64,-167.845322170584,6,347.690644341168,347.453356205574
sxd_fit64,-167.845326753878,7,349.690653507756,349.414791438791
d_fit65,-190.28911792295,5,390.578235845899,390.378235845899
sd_fit65,-188.068496876524,6,388.136993753048,387.899705617455
sxd_fit65,-188.000995617936,7,390.001991235872,389.726129166907
d_fit66,-183.655818388573,5,377.311636777146,377.111636777146
sd_fit66,-182.548838036842,6,377.097676073684,376.860387938091
sxd_fit66,-182.145136562619,7,378.290273125238,378.014411056272
d_fit67,-159.096911393473,5,328.193822786946,327.993822786946
sd_fit67,-157.067144270763,6,326.134288541526,325.897000405932
sxd_fit67,-157.067151025,7,328.13430205,327.858439981034
d_fit68,-178.697068301314,5,367.394136602627,367.194136602627
sd_fit68,-176.712780424194,6,365.425560848388,365.188272712795
sxd_fit68,-176.518239768261,7,367.036479536522,366.760617467556
d_fit69,-172.582364075596,5,355.164728151192,354.964728151192
sd_fit69,-171.036396409446,6,354.072792818892,353.835504683298
sxd_fit69,-170.978330204527,7,355.956660409053,355.680798340088
d_fit70,-176.170575259828,5,362.341150519655,362.141150519655
sd_fit70,-175.209244269187,6,362.418488538374,362.181200402781
