sA,sB,sAB,xB,dA,dB
0.237736707546975,0.355104111579501,0.0195712109364942,8.10494094033516e-09,0.072870050161013,0.198716416433278
0.263316894567602,0.458762689600302,3.16691175049992e-06,2.64340631352801e-05,0.0962330369031853,0.20252387719343
0.301513554609945,0.394409172991699,0.0230593681992427,1.83417337770136e-08,0.0999915785085802,0.200998807155378
0.192305050591249,0.300770917886287,1.52567585532488e-06,1.96674693279111e-06,0.0618521801579621,0.151529195107053
0.240215907215874,0.317864179226533,7.90883043158303e-07,1.83106574551035e-08,0.0849612394843427,0.138488316830899
0.330556032249994,0.501256004316506,5.24601467085433e-07,2.48146391991372e-07,0.12054825644859,0.219774094568809
0.237581889340867,0.370625881181188,9.67026943710226e-09,3.32477054752134e-08,0.0873097059622294,0.161743801087905
0.276752518771055,0.410110873455693,9.78646501988895e-09,7.07120867019091e-09,0.0985501875467739,0.181684034176334
0.253494011954223,0.346489113126198,1.79964502744173e-09,4.28270996578635e-09,0.0837197189632893,0.165708785899519
0.255441428985091,0.393631209504702,9.23092386773733e-08,0.0135494818954832,0.0855503955723355,0.218733945638081
0.22649014870747,0.338424407653717,0.0181854308068293,5.0559608504882e-08,0.0733721089724741,0.183464117851774
0.224124888329583,0.434975002325433,1.77880489109418e-07,2.50219969296273e-07,0.0819056744049371,0.18773253760159
0.265705523062191,0.382788657589677,0.0204894362398742,8.24645138340869e-08,0.101516423685627,0.182213933894181
0.330429106259984,0.482428282301707,0.0168964604646873,1.49163440325851e-06,0.127528786914558,0.217062745738846
0.193525169240104,0.28665617100662,5.57533175720535e-08,3.69937421156288e-08,0.0613511080667275,0.141013443223293
0.210474366259235,0.299369646839155,7.25532494667573e-07,9.87685885494265e-07,0.0729077193246518,0.138085350384166
0.254759759332758,0.353294874749808,1.67388158917979e-08,5.39475864339607e-08,0.0827579178044384,0.168919059757464
0.225057898443901,0.292180279079092,1.27252740100534e-07,0.00631873782269857,0.0786645638839399,0.146904470454017
0.260869369018223,0.402450849058317,0.0231092573077367,3.142914363068e-07,0.0825024531331411,0.220808109785396
0.260487631237157,0.410145924451157,5.32421685866844e-05,5.30165427852139e-07,0.0938732353688732,0.177085094035613
0.203642556436404,0.337895074088974,7.71385392772743e-08,1.0481058698351e-07,0.0718522488218128,0.153959532204764
0.255127087037784,0.367055005350351,0.0125059196489386,1.56260188522368e-07,0.0879302371997495,0.18930313468449
0.235637600117646,0.30901515045666,1.33549926849374e-05,5.96524614813906e-06,0.0763623506814329,0.144878960551258
0.269811431500405,0.395298123247774,1.29173475551514e-06,0.00868777305570794,0.0891160350125961,0.208667870784829
0.267463124449383,0.394563416188926,6.24731126685421e-07,1.15047845922479e-06,0.0883080915793492,0.187525402474918
0.323699877426747,0.573189109734905,4.0514618317977e-10,1.60990298583557e-09,0.118475079876074,0.237354283681419
0.196661407906565,0.324955902342254,5.02367085129187e-09,1.30183812682458e-08,0.0663224590443187,0.155078553742114
0.253878771048354,0.353830715797025,0.0170365425867899,5.26892458760031e-09,0.0865663333242415,0.181850267879801
0.264296436301542,0.394848909470374,1.08974539036923e-07,0.0162538506013008,0.0771835366314727,0.241834994407101
0.25684460984993,0.432249838398599,0.0250578534936785,1.7797890732282e-07,0.0921637753576182,0.224225500227895
0.251424925811317,0.376121967349621,8.40036942676019e-06,2.54399365110407e-06,0.0905093451615272,0.167501757088008
0.217459362257494,0.310376903968877,1.14652149095868e-07,1.07873595381619e-06,0.0680423986962092,0.155496204560821
0.204249115933134,0.315558921214597,8.02546627544764e-07,6.25640303167145e-07,0.0690512194615149,0.145325540306781
0.246938885565616,0.362180217344563,0.0272158523255495,5.74091411143517e-08,0.0766038644801536,0.20453630368533
0.214626446362565,0.311100052576869,7.17604110963903e-08,8.51808838555669e-09,0.0766857341493484,0.140948967640219
0.22730814807593,0.329387247162046,0.0254667695152454,8.44718077446946e-09,0.0729824651827031,0.179045550888791
0.257549409115162,0.376758071778618,0.018957537014753,6.59203500652512e-08,0.0820327761004836,0.206010116436421
0.231304598421879,0.325486877646429,9.79054656752808e-07,1.83262624373442e-08,0.0685521211641323,0.161339167746577
