state,mean_ro,intercept_ro
AFother,0.933834809041483,0.890834632550822
other,0.808786824563561,0.698665645440119
AF,0.714849502292973,0.75530550516683
AFother,0.926363872755745,0.872614466519317
other,0.768786824563561,0.674878605072765
AF,0.715613965725329,0.847456826681381
AFother,0.873030863061752,0.81041130452666
other,0.879144850062558,0.809445583447801
AF,0.721498389055858,0.982188387598859
AFother,0.880549848428538,0.83760908661359
other,0.808786824563561,0.757109053752252
AF,0.745211329452315,1.08560850958464
AFother,0.9259955734328,0.867329582857847
other,0.808786824563561,0.661536875448179
AF,0.714849502292973,0.904342782471537
AFother,0.9259955734328,0.85895676614383
other,0.768786824563561,0.647405010913814
AF,0.751095752782844,0.852590530466867
AFother,0.933466509718537,0.889540037536741
other,0.808786824563561,0.687036524832415
AF,0.720733925623502,1.02368832219269
AFother,0.905842316169781,0.867215268881072
other,0.768786824563561,0.661733756554463
AF,0.751095752782844,0.973502379371667
AFother,0.933834809041483,0.891601627930301
other,0.879144850062558,0.846723112878341
AF,0.751095752782844,1.00961464137234
AFother,0.933514558799586,0.886793438674825
other,0.808786824563561,0.694766336556662
AF,0.720733925623502,0.992941480433685
AFother,0.933882858122531,0.888031511460131
other,0.768786824563561,0.677066021555669
AF,0.751095752782844,0.958454482008375
AFother,0.933834809041483,0.882460559080945
other,0.808786824563561,0.694493889720961
AF,0.715613965725329,0.733838130194407
AFother,0.872982813980703,0.795812958519915
other,0.808786824563561,0.669485829201112
AF,0.751095752782844,0.943629118973649
AFother,0.883128984721945,0.866234049316118
other,0.808786824563561,0.702690361908047
AF,0.720733925623502,1.19693672760632
AFother,0.933514558799586,0.876080477729585
other,0.768786824563561,0.679191528033543
AF,0.714849502292973,0.937532747597864
AFother,0.926363872755745,0.859061054523868
other,0.767455349125887,0.664959344767503
AF,0.744016871529292,0.88105703338676
AFother,0.927890124546275,0.862801988110326
other,0.808786824563561,0.661334857132013
AF,0.720733925623502,1.10989615607595
AFother,0.933882858122531,0.889599731068657
other,0.768786824563561,0.662700922754771
AF,0.721498389055858,0.919354094596895
AFother,0.880549848428538,0.814881391738343
other,0.808786824563561,0.679918428910659
AF,0.721498389055858,0.697571531921701
AFother,0.880549848428538,0.816467722004802
other,0.879144850062558,0.86075949532815
AF,0.721498389055858,0.867971580828435
AFother,0.88050179934749,0.796478670971042
other,0.877813374624885,0.838076317797236
AF,0.721498389055858,0.944168270983301
AFother,0.880549848428538,0.841799263941127
other,0.808786824563561,0.689753211939245
AF,0.720733925623502,0.736606835516674
AFother,0.933514558799586,0.883251051513001
other,0.789728088138052,0.793077520583055
AF,0.720733925623502,1.09584755689746
AFother,0.905794267088732,0.878779769549335
other,0.768786824563561,0.644275532693265
AF,0.751095752782844,1.08583035168204
AFother,0.933514558799586,0.889484631913875
other,0.877544767964845,0.826892034289639
AF,0.720733925623502,0.967158568986056
AFother,0.933919426520463,0.888917617139807
other,0.768786824563561,0.643560279663595
AF,0.751095752782844,0.972165675641002
AFother,0.933466509718537,0.88812497568627
other,0.879144850062558,0.819799515083631
AF,0.751095752782844,0.946021395711905
AFother,0.933466509718537,0.884741609870176
other,0.879144850062558,0.809581244596927
AF,0.720733925623502,0.861197150821829
AFother,0.850286760614225,0.81125901230407
other,0.768786824563561,0.58597321482747
AF,0.751095752782844,0.838125368728843
AFother,0.933466509718537,0.89523491727204
other,0.808786824563561,0.699195592423701
AF,0.720733925623502,0.886558386338753
AFother,0.933514558799586,0.891943584429706
other,0.768786824563561,0.61877663387109
AF,0.715613965725329,1.12812441437557
AFother,0.872982813980703,0.836331918869007
other,0.879144850062558,0.830467227563727
AF,0.721498389055858,1.02296304090243
AFother,0.824946243791934,0.825446321165508
other,0.808786824563561,0.694778586474332
AF,0.721498389055858,0.986524038595964
AFother,0.88050179934749,0.824927487219068
other,0.807455349125887,0.729118828809593
AF,0.751095752782844,0.945203708191516
AFother,0.933466509718537,0.882125121492331
other,0.808786824563561,0.695851780689689
AF,0.715613965725329,0.89019533892659
AFother,0.873030863061752,0.777550372663212
other,0.807455349125887,0.713780399224243
AF,0.751095752782844,0.943574241067794
AFother,0.933882858122531,0.887327849760332
other,0.808786824563561,0.697426865937536
AF,0.720733925623502,1.11715102501497
AFother,0.933514558799586,0.882873342444627
other,0.768786824563561,0.680178119694211
AF,0.719539467700479,1.0710029509569
AFother,0.935361060832012,0.890337891340308
other,0.768786824563561,0.617549817481618
AF,0.751095752782844,0.824609769970919
AFother,0.933834809041483,0.895239053631766
other,0.808786824563561,0.712559271268073
AF,0.720733925623502,1.07207469139847
AFother,0.905794267088732,0.852764778647103
other,0.776860107322722,0.61945374286089
AF,0.720733925623502,1.11787093213192
AFother,0.933466509718537,0.882678634275184
other,0.837813374624885,0.799151290528014
AF,0.751095752782844,0.916152163242158
AFother,0.935080540517257,0.883649751820899
other,0.808786824563561,0.719771739007127
AF,0.751095752782844,1.01417666045007
AFother,0.933466509718537,0.888850552708941
other,0.808786824563561,0.649129987955015
AF,0.751095752782844,0.943516176531227
AFother,0.933514558799586,0.888649239468858
other,0.808786824563561,0.686042164689867
AF,0.720733925623502,1.01599527167166
AFother,0.933466509718537,0.886432692793842
other,0.768786824563561,0.627410284725112
AF,0.720733925623502,0.915348628711532
AFother,0.933466509718537,0.891130534083996
other,0.768786824563561,0.669382584304771
AF,0.751095752782844,0.964227439630376
AFother,0.933466509718537,0.896525978796507
